time,voltage
0.000000000000000000e+00,9.089130149633348199e-03
1.000000000000000082e-05,4.622277476319025524e-02
2.000000000000000164e-05,1.710647766825671157e-01
3.000000000000000415e-05,1.737374698271793028e-01
4.000000000000000327e-05,1.360530375804231418e-01
5.000000000000000240e-05,2.929287223489409064e-01
6.000000000000000830e-05,3.889945950413401521e-01
7.000000000000000742e-05,5.136142899725129052e-01
8.000000000000000654e-05,4.297122842148924371e-01
9.000000000000000567e-05,5.782768680890503221e-01
1.000000000000000048e-04,6.623393079851030985e-01
1.100000000000000039e-04,7.033261906390781970e-01
1.200000000000000166e-04,7.677062683270148291e-01
1.300000000000000157e-04,7.539436946241174775e-01
1.400000000000000148e-04,7.265210468917010500e-01
1.500000000000000140e-04,7.262646189079087211e-01
1.600000000000000131e-04,7.817871931375397487e-01
1.700000000000000122e-04,8.315228901966400521e-01
1.800000000000000113e-04,8.136989197323054590e-01
1.900000000000000105e-04,9.513943495819544571e-01
2.000000000000000096e-04,8.721642464618134527e-01
2.100000000000000087e-04,9.196661158769087185e-01
2.200000000000000078e-04,8.158878395690996044e-01
2.300000000000000070e-04,9.230346368518121958e-01
2.400000000000000332e-04,1.001239013641353370e+00
2.500000000000000052e-04,9.947953728823056840e-01
2.600000000000000314e-04,1.014775684288850677e+00
2.700000000000000035e-04,9.549933809314863353e-01
2.800000000000000297e-04,1.020589154967317835e+00
2.900000000000000017e-04,9.808601727362256106e-01
3.000000000000000279e-04,9.508960290471801802e-01
3.099999999999999999e-04,9.178511232084037852e-01
3.200000000000000262e-04,9.614955801221785059e-01
3.300000000000000524e-04,9.796169140523548480e-01
3.400000000000000244e-04,8.870148818689982395e-01
3.500000000000000507e-04,8.594359379096485618e-01
3.600000000000000227e-04,7.514169714899197050e-01
3.700000000000000489e-04,6.657108569261209752e-01
3.800000000000000209e-04,7.491137956207354343e-01
3.900000000000000471e-04,6.419333630549046710e-01
4.000000000000000192e-04,5.047686157402770935e-01
4.100000000000000454e-04,6.215059246795127113e-01
4.200000000000000174e-04,4.854456540517973484e-01
4.300000000000000436e-04,4.267694164002623913e-01
4.400000000000000157e-04,2.470080968955386536e-01
4.500000000000000419e-04,3.874680176748239724e-01
4.600000000000000139e-04,1.708017923073112954e-01
